distance,generated_time,instantaneous_speed,latitude,longitude
330.626,"2014-01-08 16:15:50",1.36247,-36.8532,174.769
337.736,"2014-01-08 16:15:51",1.38713,-36.8533,174.769
337.736,"2014-01-08 16:15:53",1.35489,-36.8533,174.769
337.736,"2014-01-08 16:15:54",1.22993,-36.8533,174.769
337.736,"2014-01-08 16:15:55",1.04564,-36.8533,174.769
337.736,"2014-01-08 16:15:57",0.945451,-36.8533,174.769
337.736,"2014-01-08 16:15:58",0.860845,-36.8533,174.769
345.712,"2014-01-08 16:16:00",0.887787,-36.8533,174.769
345.712,"2014-01-08 16:16:02",0.971809,-36.8533,174.769
345.712,"2014-01-08 16:16:03",1.12885,-36.8533,174.769
352.778,"2014-01-08 16:16:05",1.64076,-36.8533,174.769
365.523,"2014-01-08 16:16:06",4.39833,-36.8534,174.769
379.383,"2014-01-08 16:16:07",7.21441,-36.8535,174.768
392.24,"2014-01-08 16:16:08",8.74592,-36.8536,174.768
406.475,"2014-01-08 16:16:10",8.08234,-36.8537,174.768
406.475,"2014-01-08 16:16:11",6.08454,-36.8538,174.768
406.475,"2014-01-08 16:16:13",2.47849,-36.8538,174.768
406.475,"2014-01-08 16:16:15",1.21343,-36.8538,174.768
406.475,"2014-01-08 16:16:16",0.181992,-36.8537,174.768
406.475,"2014-01-08 16:16:18",0.0941849,-36.8537,174.768
406.475,"2014-01-08 16:16:19",0.0396012,-36.8537,174.768
406.475,"2014-01-08 16:16:21",0.132425,-36.8537,174.768
406.475,"2014-01-08 16:16:22",0.125479,-36.8537,174.768
406.475,"2014-01-08 16:16:24",0.124919,-36.8537,174.768
406.475,"2014-01-08 16:16:25",1.84622,-36.8537,174.768
406.475,"2014-01-08 16:16:26",2.9173,-36.8538,174.768
419.228,"2014-01-08 16:16:29",3.5035,-36.8538,174.768
424.955,"2014-01-08 16:16:30",3.15297,-36.8538,174.768
424.955,"2014-01-08 16:16:32",3.07958,-36.8538,174.768
433.495,"2014-01-08 16:16:33",2.96041,-36.8538,174.768
433.495,"2014-01-08 16:16:35",1.95619,-36.8538,174.768
433.495,"2014-01-08 16:16:36",1.47322,-36.8538,174.768
433.495,"2014-01-08 16:16:38",1.47322,-36.8538,174.768
433.495,"2014-01-08 16:16:39",1.18796,-36.8538,174.768
440.485,"2014-01-08 16:16:40",1.14817,-36.8538,174.768
440.485,"2014-01-08 16:16:42",1.05873,-36.8538,174.768
440.485,"2014-01-08 16:16:44",0.82656,-36.8538,174.768
440.485,"2014-01-08 16:16:45",0.454709,-36.8538,174.768
440.485,"2014-01-08 16:16:47",0.162995,-36.8538,174.768
440.485,"2014-01-08 16:16:49",0.131162,-36.8538,174.768
440.485,"2014-01-08 16:16:51",0.469724,-36.8538,174.768
440.485,"2014-01-08 16:16:52",0.901286,-36.8538,174.768
448.222,"2014-01-08 16:16:53",1.38012,-36.8539,174.768
448.222,"2014-01-08 16:16:55",2.07742,-36.8539,174.768
458.873,"2014-01-08 16:16:57",2.39956,-36.854,174.768
458.873,"2014-01-08 16:16:58",2.51571,-36.854,174.768
465.99,"2014-01-08 16:17:00",2.32788,-36.854,174.768
465.99,"2014-01-08 16:17:01",2.06267,-36.854,174.768
465.99,"2014-01-08 16:17:02",1.75277,-36.854,174.768
465.99,"2014-01-08 16:17:04",1.17347,-36.854,174.768
465.99,"2014-01-08 16:17:06",1.14294,-36.8541,174.768
473.547,"2014-01-08 16:17:08",1.12468,-36.8541,174.768
473.547,"2014-01-08 16:17:09",1.25193,-36.8541,174.768
473.547,"2014-01-08 16:17:11",1.33082,-36.8541,174.768
480.817,"2014-01-08 16:17:12",1.27589,-36.8541,174.768
480.817,"2014-01-08 16:17:14",1.11846,-36.8541,174.768
480.817,"2014-01-08 16:17:15",0.508944,-36.8541,174.768
480.817,"2014-01-08 16:17:16",0.526278,-36.8541,174.768
480.817,"2014-01-08 16:17:17",0.570622,-36.8541,174.768
480.817,"2014-01-08 16:17:19",0.782465,-36.8542,174.768
480.817,"2014-01-08 16:17:20",0.929268,-36.8542,174.768
489.718,"2014-01-08 16:17:22",1.15703,-36.8542,174.768
489.718,"2014-01-08 16:17:24",1.25719,-36.8542,174.768
489.718,"2014-01-08 16:17:27",1.28786,-36.8542,174.768
489.718,"2014-01-08 16:17:28",1.27932,-36.8542,174.768
489.718,"2014-01-08 16:17:29",1.21601,-36.8542,174.768
489.718,"2014-01-08 16:17:30",1.16066,-36.8542,174.768
489.718,"2014-01-08 16:17:32",1.10322,-36.8542,174.768
489.718,"2014-01-08 16:17:33",1.06902,-36.8542,174.768
489.718,"2014-01-08 16:17:34",1.33385,-36.8541,174.768
489.718,"2014-01-08 16:17:35",1.37327,-36.8541,174.768
489.718,"2014-01-08 16:17:37",1.18164,-36.8541,174.768
489.718,"2014-01-08 16:17:38",0.930769,-36.8541,174.768
489.718,"2014-01-08 16:17:40",1.05264,-36.8541,174.768
489.718,"2014-01-08 16:17:41",1.46184,-36.8541,174.768
489.718,"2014-01-08 16:17:42",1.83989,-36.8541,174.768
513.477,"2014-01-08 16:17:44",2.31058,-36.8542,174.768
513.477,"2014-01-08 16:17:46",2.3573,-36.8542,174.768
513.477,"2014-01-08 16:17:47",2.30193,-36.8542,174.768
513.477,"2014-01-08 16:17:48",2.23708,-36.8542,174.768
527.541,"2014-01-08 16:17:50",2.36471,-36.8543,174.767
527.541,"2014-01-08 16:17:52",2.99367,-36.8543,174.767
543.586,"2014-01-08 16:17:54",3.44536,-36.8544,174.767
543.586,"2014-01-08 16:17:55",3.44903,-36.8544,174.767
554.256,"2014-01-08 16:17:57",3.46946,-36.8545,174.767
554.256,"2014-01-08 16:17:59",3.31725,-36.8545,174.767
554.256,"2014-01-08 16:18:01",3.30412,-36.8546,174.767
570.451,"2014-01-08 16:18:03",3.19234,-36.8546,174.767
570.451,"2014-01-08 16:18:04",3.27199,-36.8546,174.767
580.405,"2014-01-08 16:18:06",3.2593,-36.8547,174.767
580.405,"2014-01-08 16:18:07",3.33095,-36.8547,174.767
592.457,"2014-01-08 16:18:09",3.05277,-36.8548,174.767
592.457,"2014-01-08 16:18:10",2.7325,-36.8548,174.767
592.457,"2014-01-08 16:18:12",2.45499,-36.8548,174.767
592.457,"2014-01-08 16:18:13",2.26702,-36.8548,174.767
592.457,"2014-01-08 16:18:15",1.78062,-36.8548,174.767
603.858,"2014-01-08 16:18:16",1.75935,-36.8549,174.767
603.858,"2014-01-08 16:18:17",1.72732,-36.8549,174.767
603.858,"2014-01-08 16:18:18",1.67459,-36.8549,174.767
603.858,"2014-01-08 16:18:19",1.60632,-36.8549,174.767
603.858,"2014-01-08 16:18:22",1.49213,-36.8549,174.767
603.858,"2014-01-08 16:18:23",1.46973,-36.8549,174.767
603.858,"2014-01-08 16:18:25",1.43363,-36.8549,174.767
603.858,"2014-01-08 16:18:26",1.4288,-36.8549,174.767
620.94,"2014-01-08 16:18:27",1.53004,-36.8549,174.767
620.94,"2014-01-08 16:18:29",1.54397,-36.8549,174.767
620.94,"2014-01-08 16:18:31",1.55636,-36.8549,174.767
620.94,"2014-01-08 16:18:33",1.55255,-36.8549,174.767
632.731,"2014-01-08 16:18:35",1.47035,-36.8549,174.767
632.731,"2014-01-08 16:18:37",1.4188,-36.8549,174.767
632.731,"2014-01-08 16:18:38",1.36347,-36.8549,174.767
632.731,"2014-01-08 16:18:40",1.16772,-36.8549,174.767
632.731,"2014-01-08 16:18:41",1.09565,-36.8549,174.767
632.731,"2014-01-08 16:18:42",1.02935,-36.8549,174.767
632.731,"2014-01-08 16:18:44",1.02935,-36.8549,174.767
632.731,"2014-01-08 16:18:49",0.962395,-36.8549,174.767
632.731,"2014-01-08 16:18:54",0.962395,-36.8549,174.767
632.731,"2014-01-08 16:18:59",0.962395,-36.8549,174.767
632.731,"2014-01-08 16:19:04",0.962395,-36.8549,174.767
632.731,"2014-01-08 16:19:06",0,-36.8547,174.767
632.731,"2014-01-08 16:19:08",1.16174,-36.8546,174.767
632.731,"2014-01-08 16:19:09",1.16174,-36.8546,174.767
632.731,"2014-01-08 16:19:11",1.15352,-36.8546,174.767
632.731,"2014-01-08 16:19:14",1.15352,-36.8546,174.767
632.731,"2014-01-08 16:19:19",1.36146,-36.8546,174.767
632.731,"2014-01-08 16:19:24",1.36146,-36.8546,174.767
632.731,"2014-01-08 16:19:29",1.36146,-36.8546,174.767
693.853,"2014-01-08 16:19:34",0,-36.8544,174.767
693.853,"2014-01-08 16:19:35",1.42013,-36.8544,174.767
693.853,"2014-01-08 16:19:37",1.4189,-36.8544,174.767
693.853,"2014-01-08 16:19:39",1.37929,-36.8544,174.767
693.853,"2014-01-08 16:19:41",1.15291,-36.8544,174.767
693.853,"2014-01-08 16:19:42",1.00796,-36.8544,174.767
693.853,"2014-01-08 16:19:43",0.883671,-36.8543,174.767
693.853,"2014-01-08 16:19:44",0.816292,-36.8543,174.767
693.853,"2014-01-08 16:19:46",0.729146,-36.8543,174.767
693.853,"2014-01-08 16:19:48",0.677983,-36.8544,174.767
693.853,"2014-01-08 16:19:49",0.68501,-36.8544,174.767
693.853,"2014-01-08 16:19:51",0.632862,-36.8544,174.767
693.853,"2014-01-08 16:19:53",0.505674,-36.8544,174.767
693.853,"2014-01-08 16:19:54",0.420983,-36.8544,174.767
693.853,"2014-01-08 16:19:55",0.341193,-36.8544,174.767
693.853,"2014-01-08 16:19:57",0.246774,-36.8544,174.767
693.853,"2014-01-08 16:19:58",0.235141,-36.8544,174.767
693.853,"2014-01-08 16:20:00",0.247633,-36.8544,174.767
693.853,"2014-01-08 16:20:02",0.270159,-36.8544,174.767
693.853,"2014-01-08 16:20:04",0.285605,-36.8544,174.767
693.853,"2014-01-08 16:20:05",0.289336,-36.8544,174.767
